"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
Подготовительный этап	Очистка площадки от мусора	576,0000	0,0000	576,0000	м2	0,0391
Демонтажные работы	Установка и разборка внутренних трубчатых инвентарных лесов (высота до 8 м)	1 000,0000	0,0000	1 000,0000	м2	0,9160
Демонтажные работы	Устранение нарушений по бетонным конструкциям фундаменты Фом 5 (отсутствие защитного бетонного слоя) фото	2,0000	0,0000	2,0000	м2	1,0200
Земляные работы	Вертикальная планировка по периметру позиции вручную (стесненные условия)	212,0000	0,0000	212,0000	м2	0,1173
Восстановление фундаментов	Восстановление фундаментов (раковины и некачественный ремонт раствором) Фом 1 при помощи ремонтных смесей	13,9600	0,0000	13,9600	м2	1,1400
Восстановление фундаментов	Восстановление фундаментов (раковины и некачественный ремонт раствором) Фом Фом 2 при помощи ремонтных смесей	2,8800	0,0000	2,8800	м2	1,1400
Восстановление фундаментов	Восстановление фундаментов (раковины и некачественный ремонт раствором) Фом 3 при помощи ремонтных смесей	7,1000	0,0000	7,1000	м2	1,1400
Восстановление фундаментов	Восстановление фундаментов (раковины и некачественный ремонт раствором) Фом 4 при помощи ремонтных смесей	7,1000	0,0000	7,1000	м2	1,1400
Восстановление фундаментов	Устройство изоляции слоем битумного праймера подземной части фундаментов	121,5000	0,0000	121,5000	м2	0,0340
Восстановление фундаментов	Устройство боковой обмазочной изоляции стен горячим битумом за 2 раза	121,5000	0,0000	121,5000	м2	0,3900
Монолитная плита ПМ1	Шлифование бетона алмазной чашкой, плиты монолитной ПМ 1 (подготовка бетона под стяжку)	686,0000	0,0000	686,0000	м2	0,1700
Монолитная плита ПМ1	Устройство подливки толщиной 20 мм (дополнительные сметные зоны)	30,6000	0,0000	30,6000	м2	0,2800
Монолитная плита ПМ1	На каждые 10 мм изменения толщины подливки добавлять к норме (утолщение зон)	30,6000	0,0000	30,6000	м2	0,0400
Монолитная плита ПМ1	Устройство уклонообразующей стяжки из бетона В12,5 толщиной 20-100 мм (уклон 0,005)	576,0000	0,0000	576,0000	м2	0,2600
Монолитная плита ПМ1	Устройство стяжек на каждые 5 мм изменения толщины стяжки (утолщение до 65 мм)	576,0000	0,0000	576,0000	м2	0,0110
Монолитная плита ПМ1	Гидроизоляция поверхности уклонообразующей стяжки составом Пенетрон в два слоя	576,0000	0,0000	576,0000	м2	0,0860
Monолитная плита ПМ1	Устройство подливки толщиной 20 мм под оборудование	0,2500	0,0000	0,2500	м2	0,2800
Монолитная плита ПМ1	Гидроизоляция боковой поверхности ПМ1 в два слоя битумной мастикой (высота 0,3м)	33,0000	0,0000	33,0000	м2	0,3900
Окраска металлоконструкций	Очистка поверхности металлических конструкций от лакокрасочных покрытий смывкой	3,7000	0,0000	3,7000	м2	0,4800
Окраска металлоконструкций	Струйная очистка металлоконструкций до степени Sa 2 1/2 по ISO 8501-1:2007	345,0000	0,0000	345,0000	м2	0,3800
Окраска металлоконструкций	Очистка поверхности металлических конструкций щетками вручную	8,9000	0,0000	8,9000	м2	0,1700
Окраска металлоконструкций	Обеспыливание проектной поверхности металлоконструкций перед грунтованием	354,0000	0,0000	354,0000	м2	0,0280
Окраска металлоконструкций	Обезжиривание металлических проектных поверхностей растворителем Р5	354,0000	0,0000	354,0000	м2	0,0840
Окраска металлоконструкций	Устройство антикоррозионного покрытия полиуретановой эмалью "СпецПротект 109" в 2 слоя (100 мкм)	354,0000	0,0000	354,0000	м2	0,1800
Окраска металлоконструкций	Окраска металлических огрунтованных поверхностей: эмалью ЭП-1236	378,0000	0,0000	378,0000	м2	0,1100
Общестроительные работы	Общестроительные работы по благоустройству площадки: Устройство покрытия площадки из сборных бетонных плит 6К7	106,0000	0,0000	106,0000	м2	0,5900
Подготовительный этап	Очистка площадки от мусора	576,0000	0,0000	576,0000	м2	0,0391
Подготовительный этап	Отбивка штукатурки с поверхностей: стен и потолков кирпичных	650,0000	0,0000	650,0000	м2	0,2600
Подготовительный этап	Протравка цементной штукатурки нейтрализующим раствором (Очистка от грибка и плесени)	250,3000	0,0000	250,3000	м2	0,0310
Подготовительный этап	Очистка швов плит покрытия от грибка и плесени специальными химическими материалами	125,0000	0,0000	125,0000	м2	0,0850
Демонтажные работы	Разборка покрытий кровель: из рулонных материалов	391,0000	0,0000	391,0000	м2	0,1540
Демонтажные работы	Разборка покрытий полов: цементных толщиной 150 мм	391,0000	0,0000	391,0000	м2	1,8200
Демонтажные работы	Разборка теплоизоляции на кровле из: ваты минеральной толщиной 100 мм	391,0000	0,0000	391,0000	м2	0,1100
Демонтажные работы	Демонтаж покрытия систем фальшполов из ДСП панели: размером 600х600 мм	37,8400	0,0000	37,8400	м2	0,1800
Демонтажные работы	Демонтаж покрытия площадки из сборных бетонных плит тротуарного типа 6К7 с заполнением швов цементно-песчаной смесью 1:10	91,0000	0,0000	91,0000	м2	0,2400
Демонтажные работы	Демонтаж наружной облицовки поверхности стен сайдингом металлическим с каркасом и теплоизоляцией	28,0000	0,0000	28,0000	м2	0,2900
Демонтажные работы	Демонтаж существующей отделки помещений	1 124,0000	0,0000	1 124,0000	м2	0,2200
Демонтажные работы	Демонтаж треснувших покрытия из плиток керамических на плиточном клее Глимс-96	5,0000	0,0000	5,0000	м2	0,1400
Земляные работы	Устройство основания из грунта/песка с уплотнением для монтажа покрытия площадки из сборных бетонных плит 6К7	91,0000	0,0000	91,0000	м2	0,0400
Кровля (Изоляция)	Устройство выравнивающих стяжек цементно-песчаных: толщиной 15 мм	391,0000	0,0000	391,0000	м2	0,1460
Кровля (Изоляция)	Обработка поверхностей парапета и кровли противогрибковыми химическими составами	400,0000	0,0000	400,0000	м2	0,0480
