"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.
Подготовительный этап	Очистка площадки от мусора	576	0	576	м2
Демонтажные работы	Установка и разборка внутренних трубчатых инвентарных лесов (высота до 8 м)	1000	0	1000	м2
Демонтажные работы	Устранение нарушений по бетонным конструкциям фундаменты Фом 5 (отсутствие защитного бетонного слоя) фото	2	0	2	м2
Земляные работы	Вертикальная планировка по периметру позиции вручную (стесненные условия)	212	0	212	м2
Восстановление фундаментов	Восстановление фундаментов (раковины и некачественный ремонт раствором) Фом 1 при помощи ремонтных смесей	13,96	0	13,96	м2
Восстановление фундаментов	Восстановление фундаментов (раковины и некачественный ремонт раствором) Фом Фом 2 при помощи ремонтных смесей	2,88	0	2,88	м2
Восстановление фундаментов	Восстановление фундаментов (раковины и некачественный ремонт раствором) Фом 3 при помощи ремонтных смесей	7,1	0	7,1	м2
Восстановление фундаментов	Восстановление фундаментов (раковины и некачественный ремонт раствором) Фом 4 при помощи ремонтных смесей	7,1	0	7,1	м2
Восстановление фундаментов	Устройство изоляции слоем битумного праймера подземной части фундаментов	121,5	0	121,5	м2
Восстановление фундаментов	Устройство боковой обмазочной изоляции стен горячим битумом за 2 раза	121,5	0	121,5	м2
Монолитная плита ПМ1	Шлифование бетона алмазной чашкой, плиты монолитной ПМ 1 (подготовка бетона под стяжку)	686	0	686	м2
Монолитная плита ПМ1	Устройство подливки толщиной 20 мм (дополнительные сметные зоны)	30,6	0	30,6	м2
Монолитная плита ПМ1	На каждые 10 мм изменения толщины подливки добавлять к норме (утолщение зон)	30,6	0	30,6	м2
Монолитная плита ПМ1	Устройство уклонообразующей стяжки из бетона В12,5 толщиной 20-100 мм (уклон 0,005)	576	0	576	м2
Монолитная плита ПМ1	Устройство стяжек на каждые 5 мм изменения толщины стяжки (утолщение до 65 мм)	576	0	576	м2
Монолитная плита ПМ1	Гидроизоляция поверхности уклонообразующей стяжки составом Пенетрон в два слоя	576	0	576	м2
